dstport,protocol,tag
267,icmp,sv_P1
268,tcp,sv_P2
269,icmp,sv_P1
270,udp,sv_P2
271,tcp,email
272,udp,sv_P1
273,tcp,email
274,tcp,email
275,udp,sv_P1
276,tcp,sv_P2
277,icmp,sv_P1
278,icmp,sv_P1
279,udp,sv_P2
280,tcp,sv_P2
281,tcp,sv_P2
282,icmp,sv_P1
283,tcp,sv_P2
284,udp,email
285,tcp,sv_P2
286,udp,sv_P2
287,udp,sv_P2
288,udp,email
289,udp,sv_P2
290,tcp,email
291,tcp,sv_P2
292,udp,email
293,tcp,email
294,icmp,sv_P2
295,icmp,sv_P2
296,icmp,email
297,tcp,email
298,icmp,sv_P2
299,tcp,email
300,tcp,sv_P2
301,tcp,sv_P2
302,icmp,email
303,icmp,sv_P1
304,tcp,email
305,icmp,sv_P2
306,icmp,sv_P1
307,udp,sv_P2
308,tcp,sv_P1
309,icmp,sv_P1
310,icmp,email
311,udp,sv_P1
312,tcp,sv_P2
313,tcp,sv_P2
314,tcp,sv_P1
315,icmp,email
316,tcp,sv_P1
317,udp,sv_P2
318,tcp,sv_P2
319,icmp,sv_P1
320,tcp,sv_P2
321,icmp,sv_P1
322,icmp,sv_P2
323,tcp,sv_P1
324,icmp,sv_P2
325,udp,sv_P1
326,icmp,sv_P2
327,icmp,sv_P2
328,tcp,sv_P1
329,tcp,email
330,tcp,sv_P1
331,icmp,sv_P2
332,icmp,sv_P2
333,tcp,sv_P1
334,icmp,sv_P2
335,udp,email
336,tcp,email
337,udp,email
338,udp,sv_P2
339,udp,sv_P1
340,tcp,sv_P2
341,icmp,sv_P1
342,tcp,sv_P2
343,icmp,sv_P2
344,icmp,sv_P2
345,icmp,sv_P1
346,icmp,email
347,udp,email
348,udp,sv_P1
349,udp,sv_P1
350,tcp,sv_P2
351,icmp,sv_P2
352,udp,sv_P1
353,icmp,email
354,tcp,sv_P2
355,icmp,sv_P1
356,icmp,sv_P2
357,icmp,email
358,icmp,sv_P1
359,icmp,sv_P1
360,icmp,sv_P2
361,tcp,sv_P2
362,icmp,sv_P1
363,icmp,sv_P1
364,tcp,sv_P1
365,icmp,sv_P1
366,udp,sv_P1
367,tcp,sv_P2
368,tcp,sv_P1
369,tcp,sv_P1
370,icmp,email
371,udp,sv_P2
372,icmp,sv_P2
373,tcp,email
374,udp,sv_P1
375,udp,email
376,udp,sv_P1
377,icmp,sv_P1
378,icmp,email
379,udp,email
380,udp,sv_P1
381,udp,sv_P2
382,udp,sv_P2
383,icmp,email
384,tcp,sv_P2
385,icmp,sv_P1
386,tcp,email
387,tcp,sv_P1
388,udp,sv_P2
389,tcp,email
390,icmp,email
391,tcp,email
392,udp,email
393,tcp,sv_P2
394,icmp,email
395,icmp,sv_P1
396,icmp,email
397,icmp,email
398,udp,sv_P2
399,icmp,sv_P1
400,icmp,sv_P2
401,icmp,sv_P1
402,icmp,sv_P1
403,tcp,sv_P1
404,tcp,sv_P1
405,udp,sv_P2
406,udp,email
407,tcp,sv_P2
408,tcp,sv_P1
409,icmp,sv_P1
410,udp,sv_P2
411,udp,sv_P2
412,icmp,sv_P1
413,icmp,email
414,icmp,email
415,icmp,sv_P1
416,udp,sv_P2
417,icmp,sv_P2
418,tcp,email
419,udp,sv_P1
420,tcp,sv_P1
421,icmp,email
422,tcp,email
423,udp,sv_P2
424,udp,sv_P2
425,udp,sv_P1
426,tcp,sv_P2
427,icmp,sv_P1
428,tcp,sv_P2
429,tcp,sv_P1
430,udp,sv_P2
431,udp,sv_P2
432,tcp,sv_P2
433,tcp,sv_P2
434,icmp,sv_P2
435,icmp,sv_P2
436,udp,sv_P2
437,icmp,sv_P2
438,tcp,sv_P1
439,udp,sv_P1
440,udp,sv_P2
441,tcp,sv_P2
442,icmp,sv_P1
443,udp,email
444,tcp,sv_P1
445,udp,sv_P2
446,icmp,sv_P2
447,tcp,sv_P1
448,tcp,sv_P1
449,icmp,sv_P2
450,udp,sv_P2
451,udp,email
452,tcp,sv_P1
453,udp,sv_P1
454,icmp,sv_P1
455,tcp,sv_P1
456,icmp,sv_P2
457,tcp,email
458,icmp,sv_P1
459,icmp,sv_P2
460,icmp,sv_P1
461,icmp,sv_P1
462,udp,email
463,icmp,sv_P2
464,udp,sv_P2
465,icmp,sv_P2
466,tcp,email
467,udp,sv_P1
468,udp,email
469,tcp,sv_P2
470,udp,email
471,tcp,email
472,tcp,sv_P2
473,udp,sv_P1
474,tcp,sv_P2
475,tcp,sv_P2
476,udp,sv_P2
477,icmp,email
478,udp,sv_P2
479,udp,sv_P1
480,icmp,sv_P2
481,tcp,sv_P1
482,icmp,sv_P2
483,udp,sv_P1
484,icmp,email
485,tcp,sv_P1
486,udp,sv_P2
487,icmp,email
488,icmp,sv_P1
489,udp,sv_P2
490,tcp,sv_P1
491,icmp,sv_P1
492,udp,sv_P2
493,icmp,sv_P2
494,udp,sv_P2
495,tcp,email
496,udp,email
497,tcp,sv_P1
498,tcp,sv_P1
499,tcp,sv_P1
500,udp,email
501,icmp,email
502,tcp,sv_P2
503,udp,email
504,icmp,sv_P2
505,udp,email
506,tcp,sv_P1
507,tcp,sv_P2
508,udp,sv_P1
509,icmp,email
510,udp,sv_P2
511,icmp,sv_P2
512,udp,sv_P2
513,udp,sv_P1
514,icmp,sv_P1
515,icmp,sv_P2
516,udp,sv_P2
517,udp,email
518,udp,sv_P1
519,tcp,sv_P1
520,tcp,sv_P1
521,tcp,sv_P2
522,icmp,sv_P2
523,udp,sv_P2
524,icmp,sv_P1
525,tcp,sv_P2
526,tcp,sv_P1
527,udp,sv_P1
528,icmp,sv_P1
529,tcp,sv_P2
530,icmp,sv_P2
531,udp,email
532,icmp,sv_P2
533,icmp,email
534,icmp,sv_P1
535,udp,sv_P1
536,icmp,email
537,tcp,sv_P2
538,udp,sv_P1
539,icmp,email
540,icmp,sv_P1
541,udp,sv_P1
542,icmp,sv_P2
543,icmp,email
544,icmp,sv_P2
545,udp,sv_P2
546,tcp,sv_P1
547,icmp,sv_P2
548,udp,sv_P1
549,udp,sv_P1
550,icmp,email
551,icmp,sv_P2
552,udp,sv_P1
553,tcp,sv_P2
554,icmp,email
555,icmp,sv_P2
556,icmp,sv_P1
557,udp,sv_P1
558,icmp,sv_P2
559,udp,sv_P2
560,tcp,sv_P1
561,icmp,sv_P2
562,udp,email
563,icmp,email
564,udp,sv_P2
565,udp,sv_P1
566,udp,sv_P2
567,icmp,email
568,tcp,sv_P2
569,icmp,sv_P1
570,tcp,sv_P2
571,tcp,sv_P2
572,udp,sv_P1
573,icmp,sv_P2
574,udp,sv_P1
575,icmp,sv_P1
576,tcp,email
577,tcp,sv_P2
578,tcp,sv_P1
579,icmp,sv_P2
580,udp,sv_P2
581,tcp,email
582,udp,email
583,tcp,email
584,udp,sv_P2
585,tcp,email
586,udp,sv_P1
587,tcp,sv_P2
588,icmp,sv_P2
589,tcp,email
590,tcp,sv_P2
591,tcp,email
592,icmp,email
593,udp,email
594,tcp,sv_P2
595,tcp,sv_P1
596,icmp,sv_P1
597,udp,sv_P2
598,icmp,sv_P2
599,icmp,sv_P2
600,icmp,sv_P1
601,icmp,email
602,icmp,sv_P2
603,tcp,sv_P1
604,udp,email
605,icmp,sv_P1
606,udp,email
607,udp,sv_P2
608,tcp,sv_P2
609,udp,sv_P1
610,udp,sv_P2
611,icmp,email
612,udp,sv_P2
613,tcp,sv_P1
614,icmp,email
615,icmp,sv_P1
616,udp,email
617,icmp,sv_P1
618,tcp,email
619,icmp,sv_P2
620,tcp,email
621,icmp,sv_P1
622,tcp,sv_P2
623,icmp,email
624,udp,sv_P2
625,icmp,email
626,tcp,sv_P2
627,udp,sv_P2
628,tcp,sv_P1
629,tcp,sv_P1
630,icmp,sv_P1
631,udp,sv_P1
632,udp,sv_P1
633,tcp,sv_P2
634,icmp,email
635,udp,sv_P1
636,udp,sv_P2
637,tcp,sv_P2
638,tcp,sv_P1
639,icmp,sv_P1
640,icmp,sv_P1
641,udp,email
642,tcp,sv_P1
643,icmp,sv_P1
644,udp,sv_P2
645,udp,sv_P2
646,tcp,sv_P2
647,icmp,email
648,tcp,sv_P2
649,udp,sv_P1
650,icmp,email
651,icmp,sv_P1
652,udp,sv_P1
653,udp,sv_P2
654,udp,email
655,tcp,sv_P2
656,udp,email
657,icmp,sv_P1
658,udp,email
659,tcp,email
660,udp,sv_P2
661,udp,sv_P2
662,tcp,sv_P2
663,tcp,sv_P1
664,udp,sv_P2
665,udp,sv_P1
666,udp,email
667,icmp,email
668,udp,sv_P1
669,tcp,email
670,tcp,sv_P2
671,udp,email
672,udp,sv_P2
673,tcp,email
674,icmp,sv_P1
675,udp,email
676,icmp,sv_P1
677,tcp,email
678,tcp,sv_P2
679,udp,email
680,tcp,sv_P1
681,udp,email
682,udp,sv_P2
683,udp,sv_P1
684,icmp,sv_P1
685,tcp,email
686,icmp,sv_P1
687,icmp,email
688,tcp,sv_P1
689,icmp,sv_P2
690,icmp,sv_P2
691,udp,sv_P1
692,udp,sv_P2
693,udp,email
694,icmp,email
695,udp,sv_P1
696,udp,email
697,udp,sv_P1
698,tcp,sv_P2
699,icmp,email
700,tcp,sv_P1
701,udp,email
702,udp,sv_P1
703,icmp,email
704,udp,email
705,udp,email
706,icmp,sv_P1
707,udp,sv_P2
708,icmp,email
709,icmp,email
710,tcp,sv_P2
711,icmp,email
712,udp,sv_P1
713,icmp,sv_P2
714,udp,sv_P2
715,tcp,email
716,icmp,email
717,icmp,sv_P1
718,udp,email
719,udp,sv_P2
720,icmp,sv_P1
721,udp,email
722,icmp,email
723,udp,email
724,icmp,sv_P2
725,udp,sv_P2
726,icmp,sv_P1
727,udp,sv_P2
728,tcp,email
729,icmp,sv_P1
730,tcp,sv_P1
731,icmp,email
732,tcp,email
733,udp,sv_P1
734,udp,email
735,icmp,sv_P2
736,udp,email
737,tcp,sv_P1
738,udp,sv_P1
739,icmp,sv_P1
740,tcp,email
741,tcp,email
742,tcp,sv_P2
743,udp,sv_P1
744,tcp,email
745,icmp,email
746,tcp,sv_P1
747,icmp,sv_P2
748,udp,sv_P2
749,icmp,sv_P1
750,tcp,sv_P1
751,tcp,sv_P2
752,tcp,sv_P1
753,tcp,email
754,udp,sv_P2
755,udp,sv_P2
756,udp,sv_P2
757,udp,sv_P1
758,tcp,email
759,udp,sv_P2
760,udp,email
761,udp,sv_P1
762,icmp,sv_P1
763,icmp,sv_P1
764,icmp,email
765,udp,email
766,udp,sv_P1
767,icmp,sv_P2
768,tcp,email
769,udp,email
770,udp,sv_P2
771,tcp,email
772,udp,sv_P2
773,udp,email
774,icmp,email
775,icmp,email
776,udp,sv_P1
777,tcp,sv_P1
778,icmp,email
779,tcp,sv_P1
780,icmp,sv_P1
781,tcp,email
782,tcp,sv_P1
783,icmp,sv_P2
784,udp,sv_P1
785,tcp,email
786,icmp,email
787,icmp,sv_P2
788,udp,email
789,icmp,email
790,tcp,sv_P1
791,icmp,sv_P2
792,udp,sv_P2
793,udp,sv_P2
794,icmp,sv_P2
795,icmp,sv_P1
796,tcp,sv_P2
797,tcp,sv_P1
798,udp,sv_P2
799,icmp,email
800,icmp,sv_P2
801,tcp,email
802,icmp,sv_P1
803,tcp,email
804,icmp,sv_P2
805,icmp,sv_P1
806,icmp,email
807,udp,sv_P2
808,udp,email
809,udp,sv_P2
810,icmp,sv_P1
811,udp,email
812,tcp,sv_P2
813,udp,sv_P2
814,udp,sv_P2
815,udp,email
816,icmp,sv_P1
817,udp,sv_P2
818,udp,email
819,tcp,sv_P2
820,icmp,sv_P2
821,icmp,email
822,icmp,sv_P1
823,udp,email
824,icmp,email
825,udp,email
826,tcp,sv_P2
827,icmp,sv_P1
828,udp,sv_P2
829,icmp,email
830,tcp,sv_P2
831,icmp,sv_P2
832,tcp,sv_P2
833,icmp,sv_P2
834,udp,sv_P2
835,tcp,sv_P1
836,icmp,email
837,udp,email
838,udp,sv_P1
839,icmp,sv_P2
840,icmp,sv_P1
841,tcp,sv_P1
842,tcp,sv_P1
843,udp,email
844,tcp,sv_P2
845,icmp,sv_P1
846,tcp,sv_P2
847,udp,email
848,icmp,sv_P2
849,tcp,email
850,udp,sv_P2
851,tcp,sv_P1
852,udp,sv_P2
853,tcp,sv_P1
854,tcp,sv_P2
855,icmp,email
856,udp,sv_P2
857,tcp,sv_P2
858,icmp,email
859,tcp,email
860,icmp,sv_P1
861,udp,sv_P1
862,udp,sv_P1
863,tcp,email
864,udp,email
865,icmp,email
866,udp,sv_P2
867,udp,sv_P2
868,tcp,email
869,icmp,sv_P1
870,icmp,sv_P2
871,tcp,sv_P2
872,icmp,sv_P2
873,icmp,sv_P1
874,icmp,sv_P1
875,tcp,sv_P1
876,icmp,email
877,tcp,sv_P2
878,tcp,email
879,udp,sv_P2
880,tcp,email
881,udp,email
882,udp,sv_P2
883,tcp,email
884,udp,email
885,icmp,email
886,udp,email
887,tcp,sv_P1
888,icmp,sv_P1
889,udp,email
890,udp,sv_P2
891,tcp,sv_P1
892,udp,email
893,udp,sv_P1
894,udp,sv_P1
895,icmp,sv_P2
896,icmp,email
897,udp,sv_P2
898,icmp,email
899,tcp,sv_P1
900,icmp,email
901,tcp,sv_P2
902,udp,sv_P1
903,tcp,sv_P2
904,icmp,sv_P2
905,tcp,email
906,udp,sv_P1
907,tcp,sv_P1
908,tcp,sv_P1
909,icmp,sv_P1
910,udp,sv_P1
911,icmp,sv_P2
912,udp,sv_P1
913,tcp,sv_P1
914,tcp,email
915,tcp,sv_P2
916,udp,sv_P2
917,udp,sv_P2
918,udp,sv_P2
919,tcp,sv_P2
920,icmp,sv_P1
921,udp,email
922,tcp,email
923,udp,sv_P2
924,udp,sv_P2
925,tcp,sv_P1
926,udp,sv_P2
927,tcp,sv_P2
928,tcp,email
929,tcp,email
930,udp,sv_P2
931,icmp,sv_P2
932,udp,sv_P2
933,udp,email
934,tcp,sv_P1
935,tcp,email
936,udp,sv_P1
937,icmp,sv_P1
938,tcp,sv_P1
939,icmp,sv_P2
940,udp,sv_P1
941,icmp,email
942,tcp,sv_P1
943,tcp,email
944,tcp,sv_P2
945,tcp,sv_P2
946,udp,sv_P2
947,udp,sv_P2
948,tcp,sv_P2
949,tcp,sv_P1
950,tcp,sv_P1
951,tcp,sv_P1
952,udp,sv_P2
953,tcp,email
954,udp,sv_P1
955,udp,sv_P2
956,tcp,sv_P1
957,tcp,sv_P2
958,icmp,sv_P2
959,tcp,sv_P1
960,tcp,sv_P1
961,icmp,sv_P1
962,udp,email
963,tcp,sv_P2
964,udp,email
965,tcp,sv_P2
966,icmp,email
967,icmp,sv_P1
968,tcp,sv_P2
969,udp,email
970,tcp,sv_P1
971,icmp,sv_P1
972,icmp,sv_P1
973,tcp,email
974,tcp,sv_P1
975,icmp,sv_P1
976,udp,sv_P1
977,udp,sv_P1
978,udp,sv_P1
979,icmp,email
980,icmp,email
981,tcp,sv_P1
982,tcp,sv_P2
983,udp,email
984,udp,email
985,udp,sv_P2
986,icmp,email
987,icmp,sv_P1
988,icmp,sv_P1
989,tcp,email
990,tcp,sv_P1
991,tcp,email
992,udp,sv_P1
993,udp,sv_P2
994,tcp,sv_P2
995,tcp,email
996,icmp,sv_P1
997,tcp,email
998,udp,email
999,udp,email
1000,udp,sv_P1
1001,tcp,email
1002,tcp,email
1003,tcp,email
1004,udp,sv_P1
1005,icmp,email
1006,tcp,sv_P1
1007,udp,email
1008,icmp,email
1009,udp,sv_P2
1010,tcp,email
1011,udp,sv_P1
1012,icmp,email
1013,tcp,sv_P2
1014,tcp,sv_P2
1015,tcp,email
1016,icmp,email
1017,udp,email
1018,udp,sv_P1
1019,tcp,email
1020,udp,sv_P1
1021,udp,sv_P2
1022,tcp,sv_P1
1023,tcp,sv_P2
1024,icmp,sv_P1
1025,tcp,sv_P1
1026,icmp,email
1027,icmp,sv_P2
1028,tcp,email
1029,tcp,sv_P2
1030,udp,sv_P2
1031,udp,email
1032,icmp,email
1033,tcp,email
1034,icmp,sv_P1
1035,tcp,sv_P2
1036,icmp,email
1037,icmp,sv_P1
1038,udp,sv_P1
1039,icmp,sv_P2
1040,udp,sv_P2
1041,udp,email
1042,tcp,email
1043,tcp,sv_P2
1044,icmp,sv_P2
1045,tcp,email
1046,udp,email
1047,icmp,email
1048,tcp,sv_P1
1049,icmp,sv_P1
1050,icmp,sv_P2
1051,icmp,email
1052,udp,sv_P2
1053,udp,email
1054,udp,sv_P1
1055,udp,sv_P1
1056,tcp,sv_P1
1057,udp,sv_P1
1058,tcp,sv_P1
1059,tcp,sv_P2
1060,tcp,sv_P2
1061,udp,sv_P1
1062,udp,sv_P1
1063,icmp,email
1064,udp,sv_P1
1065,tcp,sv_P2
1066,tcp,sv_P2
1067,icmp,email
1068,tcp,sv_P1
1069,tcp,email
1070,udp,sv_P1
1071,udp,sv_P2
1072,icmp,sv_P1
1073,udp,sv_P2
1074,tcp,email
1075,udp,sv_P2
1076,tcp,email
1077,tcp,email
1078,icmp,sv_P1
1079,icmp,sv_P2
1080,udp,sv_P1
1081,udp,sv_P2
1082,udp,sv_P1
1083,icmp,email
1084,udp,sv_P1
1085,udp,email
1086,icmp,email
1087,udp,email
1088,udp,sv_P2
1089,tcp,sv_P1
1090,udp,sv_P2
1091,icmp,email
1092,icmp,sv_P1
1093,udp,sv_P2
1094,udp,sv_P1
1095,udp,sv_P1
1096,udp,email
1097,icmp,sv_P1
1098,udp,sv_P1
1099,udp,sv_P2
1100,icmp,sv_P1
1101,tcp,sv_P2
1102,tcp,sv_P1
1103,tcp,sv_P2
1104,icmp,sv_P1
1105,tcp,email
1106,udp,sv_P1
1107,udp,email
1108,udp,email
1109,tcp,sv_P1
1110,udp,email
1111,udp,sv_P2
1112,tcp,sv_P2
1113,udp,email
1114,tcp,email
1115,udp,sv_P1
1116,udp,sv_P1
1117,tcp,sv_P2
1118,tcp,sv_P2
1119,icmp,sv_P2
1120,icmp,sv_P1
1121,tcp,email
1122,icmp,email
1123,udp,sv_P1
1124,icmp,email
1125,tcp,sv_P2
1126,icmp,sv_P2
1127,tcp,sv_P1
1128,icmp,sv_P2
1129,tcp,email
1130,tcp,sv_P1
1131,udp,sv_P1
1132,tcp,sv_P2
1133,tcp,sv_P1
1134,tcp,email
1135,icmp,sv_P1
1136,udp,sv_P1
1137,icmp,sv_P2
1138,icmp,sv_P2
1139,icmp,email
1140,icmp,email
1141,icmp,sv_P2
1142,tcp,email
1143,udp,sv_P1
1144,tcp,email
1145,tcp,email
1146,tcp,email
1147,udp,email
1148,icmp,email
1149,udp,sv_P2
1150,udp,sv_P2
1151,icmp,email
1152,tcp,sv_P2
1153,tcp,email
1154,icmp,email
1155,icmp,email
1156,tcp,sv_P2
1157,udp,email
1158,tcp,sv_P2
1159,udp,sv_P2
1160,tcp,sv_P1
1161,icmp,sv_P2
1162,icmp,email
1163,icmp,sv_P2
1164,tcp,sv_P2
1165,udp,sv_P2
1166,icmp,sv_P1
1167,tcp,sv_P2
1168,udp,sv_P2
1169,tcp,sv_P1
1170,udp,email
1171,icmp,email
1172,icmp,sv_P2
1173,icmp,sv_P1
1174,icmp,sv_P1
1175,udp,sv_P2
1176,icmp,sv_P2
1177,tcp,sv_P2
1178,icmp,sv_P2
1179,udp,sv_P1
1180,tcp,email
1181,udp,sv_P2
1182,udp,sv_P2
1183,icmp,sv_P1
1184,icmp,sv_P1
1185,udp,sv_P1
1186,tcp,sv_P2
1187,icmp,sv_P2
1188,icmp,email
1189,tcp,sv_P2
1190,tcp,sv_P2
1191,tcp,email
1192,udp,sv_P1
1193,tcp,sv_P2
1194,udp,sv_P2
1195,tcp,sv_P1
1196,icmp,email
1197,udp,sv_P1
1198,icmp,email
1199,icmp,email
1200,udp,sv_P2
1201,tcp,sv_P1
1202,udp,sv_P2
1203,icmp,email
1204,udp,sv_P1
1205,udp,sv_P1
1206,udp,sv_P1
1207,icmp,sv_P2
1208,udp,email
1209,icmp,sv_P1
1210,udp,email
1211,tcp,sv_P2
1212,tcp,sv_P1
1213,tcp,email
1214,icmp,sv_P2
1215,icmp,sv_P2
1216,tcp,email
1217,icmp,email
1218,tcp,email
1219,udp,sv_P1
1220,udp,sv_P2
1221,udp,sv_P1
1222,tcp,sv_P1
1223,udp,sv_P2
1224,udp,sv_P1
1225,icmp,sv_P2
1226,icmp,sv_P2
1227,udp,email
1228,tcp,sv_P1
1229,tcp,sv_P1
1230,tcp,sv_P2
1231,tcp,sv_P1
1232,icmp,email
1233,udp,sv_P1
1234,tcp,sv_P1
1235,udp,sv_P1
1236,tcp,email
1237,icmp,email
1238,udp,sv_P2
1239,icmp,sv_P2
1240,icmp,sv_P2
1241,tcp,sv_P2
1242,tcp,sv_P1
1243,udp,sv_P1
1244,icmp,sv_P2
1245,icmp,sv_P2
1246,udp,sv_P1
1247,udp,sv_P2
1248,tcp,sv_P2
1249,tcp,sv_P2
1250,tcp,sv_P2
1251,tcp,sv_P2
1252,tcp,sv_P1
1253,udp,sv_P1
1254,udp,email
1255,tcp,sv_P1
1256,tcp,sv_P1
1257,tcp,sv_P2
1258,udp,email
1259,tcp,email
1260,udp,sv_P1
1261,tcp,email
1262,udp,sv_P2
1263,tcp,email
1264,udp,email
1265,udp,email
1266,udp,email
1267,udp,email
1268,tcp,sv_P2
1269,icmp,sv_P2
1270,tcp,email
1271,tcp,sv_P2
1272,tcp,email
1273,tcp,email
1274,tcp,sv_P1
1275,icmp,email
1276,icmp,sv_P1
1277,icmp,email
1278,tcp,email
1279,icmp,sv_P1
1280,icmp,email
1281,tcp,sv_P2
1282,tcp,sv_P1
1283,udp,sv_P2
1284,udp,sv_P2
1285,icmp,email
1286,icmp,sv_P2
1287,tcp,email
1288,udp,email
1289,udp,sv_P2
1290,icmp,sv_P2
1291,udp,sv_P2
1292,icmp,sv_P2
1293,tcp,email
1294,tcp,sv_P2
1295,tcp,sv_P2
1296,icmp,email
1297,icmp,sv_P1
1298,tcp,email
1299,icmp,sv_P2
1300,udp,sv_P2
1301,tcp,sv_P1
1302,tcp,sv_P1
1303,icmp,email
1304,tcp,email
1305,tcp,sv_P2
1306,udp,sv_P2
1307,udp,sv_P1
1308,tcp,sv_P2
1309,udp,email
1310,udp,sv_P2
1311,udp,sv_P2
1312,tcp,sv_P2
1313,icmp,sv_P2
